사용자,평점,댓글 내용
MJ,4,"웃어야 하나
울어야 하나"
MMXXII,2,"🖤할 줄 아는 욕 시옷 비읍 밖에 없음
🖤코피노 후려치기 + 들러리 소재로 써먹기
🖤그지같은 플롯
🖤엔딩 할 말이 없다 ㅎㅎㅎㅎㅎㅎ"
김호산,2.5,그냥 좀… 웃긴데? 코미디인가??
Eomky,1,"10년이 지났어도 여러 캐릭터에서 신세계 정청의 익살이 보이지만.
낙원의 밤이 생각나는 만듦새.
초반 김선호에게서 잠깐 비춰보였던 브이아이피의 이종석의 미소. 하지만 그거슨...
실망감--> 기대감 없이 봤다 호평 --> 기대 --> 실망의 고리가 뫼비우스의 띠 같다.
그럼 다음 작품은 기대 이상이려나.
사실 이제 좀 버거운 건 사실."
YongJo,2.5,정찰제 가게에서 주인 행세하는 사람들이 너무 많다. 심지어 내가 오더한 물건은 있지도 않고 이만하면 거저 주는거라며 꼴값을 떨고 있다.
영사남,2,박훈정 영화는 이제 안 봐도 다 알 거 같다
지구별여행가,2.5,전혀 새로움이 없는 박훈정 감독의 동어 반복 서사
37.2,0.5,난 분명 잤는데 내용을 다 안다
램쥐,1.5,와...
이한빈,2,관객들과는 친구하기 싫었나보다….
권순범,2.5,"액션에 컷을 난도질 하면 재미있을 것이란 착각.
캐릭터 조형과 마사지에 집중하느라 시나리오가 뒷전으로 밀려난다."
HODU,0.5,"두 시간 동안 김선호 혼자 낄낄거리는 거 듣고옴 ㅡㅡ

그리고 감독 유튜브 구독 목록에 파쿠르, 외제차 리뷰, 영어 잘해보이는 법 이런 거 있을듯 ㅡㅡ"
스테민,1.5,"런닝타임이 길지도 않는데 보는내내 인내심을 요한다.
화려한 액션도 없고 반전도 없고 긴장감도 없다.
얼척없는 개그(?)만 존재하고 이게 대체 무슨 씬인데 질질 끌지라는 생각만 머릿속에 맴돈다."
김동영,0.5,"웃길 기면 웃기고 진지할 거면 진지하던가
광대 노릇 하다 끝난 김선호랑 벤츠만 아까움"
유리,0.5,"자동차  추격전애서 몇번을 졸았는지...
멤버십포인트로 봐서 다행"
𝐩𝐢𝐜𝐧𝐢𝐜𝐤𝐞𝐫,0.5,"에라이, 💩💩💩💩💩💩💩💩💩✖️🤬
안 본 눈 삽니다 👁️👁️

➖관람전
아이고야 예고편 보니, 알겠다 😎
배우들은 그래, 저런 역할 한번은 해보고 싶긴 할거야
독이 되든 득이 되든 🫨"
신종한,2.5,"마녀에 갇혀버린 박훈정
신세계는 더 이상 볼수없었다."
최지은,0.5,이 영화가 만들어내는 리듬에 나는 도저히 함께할 수 없었다. 함께하지 못해서 아쉬운 점이 하나도 없다는 점이 아쉬울 뿐이다.
영화인,3.5,서사를 담으면서도 장르는 살려내는. 배우들이 하나같이 매력적.
매버릭,2.5,마녀같은 느낌을 기대하고 봐서 그런가 뭔가 익숙한 소재로 생각보다 B급 병맛이었던 영화. 김선호 덕분에 A급 병맛으로 올랐다고 해야하나? 중반까지는 애매했는데 뒤로 갈수록 (웃겨서) 재밌어짐. 그냥 김선호 복귀 잘했다~!~!
뀨뀨,1,무엇을 상상하든 그 이하
유지철,2,쓸데없이 광기와 허세에 절여진 캐릭터들.
Raymon,2,"세상 스타일리쉬하고. 허황된 설정과. 과하게 연출된. 한편의 웹툰을 보는 듯. 요란뻑적지근 해서. 좀처럼 이야기에 공감할 수가 없네.
+
느와르 속 폼생폼사가. 캐릭터의 매력도를 높이는 요소일 수는 있는데. 이야기의 설정과 괴리감이 크면. 공감도 몰입도 방해하는 망작으로 가는 지름길이 되기도 한다.

#신세계2 #기대만빵"
애솔킴,3.5,"그럭저럭 굴러가는 영화를 찍을 줄 아는게 감독의 장점이자 한계.

그러나 이 영화엔 <신세계>의 황정민 <낙원의 밤>의 차승원 같은 배우가 없어서 밋밋함이 두드러져 보이긴 함.
(심져 고아라 같은 경우 미스캐스팅에 가까움)"
길베르토,3,신세계 감독 생각하면 이름값에는 못 미치지만 뭔가 캐릭터가 산만하면서도 밉지는 않은 매력이 있다 정도?
맛스타,3,"나름의 재미는 있는데?
김선호의 변신만으로 재미가 있네."
강씨네수다,3.5,"단편같은 장편.

+ 리듬감이 꽤 신선하고 좋다.
+ 귀공자 캐릭터의 프리퀄이 보고 싶다."
타크마,3.5,박훈정 스타일 갠적으론 참 좋아하는데.. 이쯤 되면 이제 신세계와 마녀의 그 어디쯤에서 허우적대고 계시는건 아닌지..
대연뎨녈,3.5,"김선호의 광기 서린 웃음이 차갑고 날카로워 좋았고,
마지막 맺음을 엉망으로 망쳐버린 시나리오였다.
굳이 마지막을 꼭 해피엔딩으로 마무리했어야했나…"
한상유,3,"2023.9.8
(혼자)
프로면 좀 더 프로답게 해주면 안될까?"
동연,0.5,"살면서 봤던 영화중에서 가장 재미가 없었다고 단언할 수 있는 영화. 연출과 스토리가 모두 빈약하고 루즈해지는 부분밖에 존재하지 않아서 몰입을 하나도 할 수가 없었음. 영화희 호흡이 너무나도 길다고 할 수 있음. 배우들이 연기를 못하는 건지 대사가 유치한건지 알 수는 없지만 한 마디 한 마디 할 때마다 몰입을 깨버리고 불필요한 장면이 정말 너무너무 많음. 영화의 목적과 왜 뒤쫓는지와 같은 이유들을 관객에게 하나도 알려주지 않아서 등장인물들의 행동 매커니즘을 이해할 수가 없고 답답하기만 함. 범죄, 액션 영화를 만들지 않고 코미디 영화를 만들려고 햤지만 그 코미디 마저 재미가 하나도 없음."
제레미테시오,3.5,"결론은 액션영화가 아니라 필리핀 의료계 현실을 비판한 블랙코미디.
김선호의 미국식 영어, 영국식 영어, 따갈로그 발음은 좋았다."
월터 핑크맨,2.5,시작하고 거의 한 시간 넘게 이유도 모르고 재미도 없는 추격 살상극을 보고 나서야 얄팍한 반전이 한번 있는데 다 장난같은 수준.
건축가,2.5,김선호의 능글 하나 믿고 영화가 나대는 꼴보기 싫다
다하,3,"박훈정의 시나리오, 박훈정의 캐릭터, 박훈정의 대사, 박훈정의 액션, 거기에 박훈정의 유머까지. 뭐 하나 신선하지도 그렇다고 별로라고 생각되지도 않는 늘 그래왔던 박훈정의 영화중의 하나. 그래도 딱 하나 건진게 있다면 박훈정의 김선호"
사탕,3,"각본이 구리니까 매력적인 캐릭터가 살지

못함

마이사  도 김선호 도"
공주,0.5,가영이는 왜 집에서도 교복입고있지 학교갔다왔나
moongun,3,"원낙 평점이 좋지 못해서
고민 했는데 액션은 굿인데
내용이 살짝 아쉽다.
작가가 바꿔서 나중에 대필한 느낌"
영화 중년,3,"김선호가 열일하는 가족 찾아주기 프로젝트
230730"
영화보는재미,1,"마녀에서 다 보여주지 못한 허세를 여기서도 다 풀고 있다. 마녀에서 보여준 캐릭터 구성을 여기서도 보여주고 있다. 마녀와 비슷한 흐름 또한 가져가고 있다.

차별점이 굳이 있다고 한다면...장르가 다르다?

최우식이 제대로 보여주지 못한 허세의 느낌을 김선호가 보여준다.

여자가 하면 마녀 남자가 하면 귀공자.

한줄평: 최우식의 허세가 맘에 들지 않아서 김선호로 돌아온 귀공자."
태지니,2,돈 들여..배우들이랑..농담 몇개랑...액숀 쫌 한거..끝
이영,1,영회의 만듦새가 심각하게 느끼하다
타란티노,2,김선호가 제작비를 다 뎄나 싶을 정도로 만들어진 김선호만을 위한 캐릭터무비
이현만,0.5,"둘 다 잘하는 감독들이 분명히있지만, 우리는 이미 안다. 일단 각본 쓰는거부터 포기해봅시다..."
거hey,3,"서윗 사이코 그대
제목부터 싼마이 저렴이 감성..하… 인데
대사 수준도 정말 모든 인물이 시정잡배같음;; ㅜㅜ
품위라곤 찾아볼수없는,,

그래도 남주 매력적이고요
귀공자씨도 ㅋㅋㅋ 볼만합니다

근데 후반부 억지 설정 폭발은 진짜 헛웃음나옴ㅋㅋㅋ 이거 웃길라고 일부러 이렇게 옛날 감성으로 한 거 마..맞죠?"
ima_vef,3,이 정도 맛다시면 부담 없지.
조종인,2,"김선호의 뛰어난 연기를 제외하면 모두 겉멋만 남아버린 이야기. (222)

+ 중간에 ""한국 사람들은 영어하면 환장한다""라는 대사가 나오는데, 진짜 박훈정 감독이 이런 생각을 가져서 지금까지 본인 영화에 뜬금없는 영어대사를 계속 넣어온걸까. 진짜 이런 생각 가지고 계시다면 고치시길 바랄뿐."
붉은대륙,3,생각보단 괜찮은데? 전작인 낙원의 밤보다는 훨씬 괜찮다. 그럴싸한 액션 분량이 좀 더 있었으면 더 좋았을 듯…
Jin  Lee,3.5,"못끊겠다 박훈정
조금만 다듬어준다면.."
지붕,3,배우가 다 살렸네
일영,2.5,"비주얼, 분위기 연출이 탁월하고 감독만의 개성이 있다
서사의 빈약함을 캐릭터로 메울려고 하는데 전작들에 비해 점점 약해진다 그럼에도 김선호, 김강우 배우 매력은 확실하게 보여준다

중간에 자동차 광고인줄 알았네…."
박수지,3,"킬러영화에 제목이 왜 귀공자인지 김선호 배우 나오자마자 바로 납득 🙂
한국판 존윅 시리즈 만들어주세여.."
이민기,2.5,신세계+마녀+낙원의 밤
김유능,3,마녀2 이후로 기대를 살짝 놓아서 그런가 괜찮게 봤다. 김강우 연기가 꽤나 괜찮아서 놀랬음.
Tori,3.5,섬뜩한 포스터에 어울리지 않는 유치한 액션
김주찬,3.5,마르코 흉터가 자꾸만 오징어 땅콩이랑 겹쳐보여
달예,3,"이게 무슨 맛인가 싶긴한데 나는 먹을 만해

23.06.28 창원 롯데시네마에서"
검은여우,3,적당한 이야기와 액션 그리고 그걸 커버하는 주연들의 열연
애린,3,"마르코 살려~~~
-
마세라티 vs 벤츠 vs 제네시스"
김민욱,2.5,박훈정은 외산인 벤츠와 마세라티를 좇다가 길가에 처박히는 현대 제네시스와 흡사한 감독이다
차록수수,4.5,"배우들은 기가 막히게 부각시켜주는 감독
캐스팅이 다했다!"
왓탁,3,끊임없는 자학 개그로 간신히 버틴다.
박현,3,"#2023-13
얕은 액션코미디. 치명적인 척"
박재홍,2.5,추격전은 조금 더 치밀했어야 한다
Lotty Kim,4.5,마녀같은 거 말고 이런 거 해주세요
MI2dark,3.5,"큰아들 입장에서는 엄청 엄청 짜증날듯!
그리고 김선호에게는 딱인 배역!"
산책,1.5,필리핀 혼혈들이 박훈정 감독 줘패도 인정
김민규,3.5,"새로운 얼굴들이 전혀 어색하거나 이질적으로 느껴지지 않은, 상당히 고퀄의 액션씬 + 코미디 요소

P.S. 그럼에도 금수저가 부러운 건 병일까..?"
EJH,1,끝까지 볼 수 없어서 중간에 나옴.
김준오,2,김선호밖에 안 보임.
HAN,3.5,"가볍게 볼 수 있는 코믹 액션 영화
내가 볼때는 2편도 나올 수 있을 듯 ㅎㅎ"
Sei,3,나는 <신세계>에 대한 미련을 내려놓으니 <귀공자>는 재밌게 느껴졌다. ‘중2병 누아르’ 장르를 만든 걸로 치자!
저수미,3,억지로 끼워맞춘 조각과 악수 시키긴 조금 어색한 완성도
김새민,3,엔딩 저렇게 끝내놓고 속편 투자 못 받아야 코미디의 완성
Shagra,1,"시종일관 똥볼만 차는 감독, 그나마 선방한 김강우와 김선호.

23.06.21.(수) 메가박스 신촌."
rgz,1,이쯤이면 전혀 타인의 피드백을 받아들이지 않고 고집만 쎈 감독인걸 스스로 인증한꼴.
복숭아,3,"박훈정 감독 싫어하는 사람 왜 이렇게 많은지 모르겠다.
<신세계>는 플루크가 맞다. 다양한 레퍼런스를 그저 섞어 비볐다는 것도 얼추 맞다.

그런데 홍콩 느와르, 일본 서브컬쳐, 그에 영향 받은 헐리우드 무비를 비벼서 맛 평균치는 높잖아?

어줍잖게 재능은 없으면서 오리지널 추구하는 감독들이나 SJW들이나 환호할 법한 영화, 한물간 케이퍼 무비나 주구장창 나오는 현 한국 영화계에서 이정도면 좋은 감독이다."
R.,3,여러모로 당황스럽지만 이상한 장르적 재미가 살아있는 박훈정표 범죄극
시현,4,야 너 부르잖아 “네” 해야지
임한량,4,"초반에 약간 지루하다가 귀공자가 본격 등장하면서 긴장감 업
마지막 액션씬이 하이라이트인데 김선호 액션연기 굿
김선호 이런 연기도 유연하게 참 잘 하네 매력있는 배우"
박민호,2.5,해피엔딩이 유일한 장점
Before Life,4,"신세계는 무간도 리메이크라 치고 그 외의 박훈정 작품 중에 제일 재밌게 봄.
유쾌하고 치명적인 척하는 겉멋을 걷어내고 힘 쫙 빼니까 재미와 웃음이 살아난다. 안 오글거리고 훨씬 재밌네. 유일한 흠은 초반부의 몇몇 씬들이 너무 늘어지는 거 정도...

주인공은 균형 못 맞추면 그냥 짜증만 불러일으킬, 매력 살리기 까다로운 인물인데 김선호가 연기 잘하긴 정말 잘한다. 소화 완벽히 했으니 다른 사람으로 대체하란 건 절대 아니고, 이준혁도 어울렸겠다고 생각함. 어떤 설정(스포방지) 때문에 어차피 안됐겠지만. 여튼 범죄도시3에서의 이준혁이 이런 캐릭터이길 바랐다.

워낙 기대 없이 본 것도 있지만 한국 영화계엔 ‘가벼운 행동에 그렇지 못한 실력’으로 촐싹거리는 프로사기캐가 드물어서 이대로 2 나와도 볼 거 같음. 마녀도 이런 노선이었으면 꼭 챙겨봤을텐데."
No Mad,3,"*
그의 영화는 왜 서사의 긴장감을 놓쳐버리고 우연성을 남발하는 지경에 이르렀을까?
그의 처절하고 냉철했던 액션은 왜 댄디한 장식같은 느낌으로 전락하고 말았을까?
그래서, 그의 영화는 현실적 맥락에서 이탈한 그만의 판타지처럼 느껴질까?
*
쿠키를 포함한 라스트 20분은 생략해도 좋았을 사족들이고, 신파에 찌들어있다.
*
김선호의 연기에 대해 말하고 있지만, 김강우의 연기가 무척 돋보인다. 그도 이제 뭔가를 아는 나이에 이르른 것이다.

2023.06.21.100."
채니,3,"생각보다 괜찮았다
기대 너무 안 해서 봐서 그런걸까
김선호는 정말 좋았다"
봉달봉달,1,피칠갑에 욕 좀 섞으면 다 느와르인줄 아냐
뭘봐요,2.5,"반갑다 친구(박훈정)야. 이게 맞니?
+ 김선호 연기는 스크린 데뷔 성공."
마블마닠,4,"6/16 CGV 시사회 당첨으로 봤음
생각보다 잔인한 장면은 적고, 초반만 견디면 킬링타임용으로 딱이다.
기대 없이 봤으나 많이 웃었다. 그래서 결론은 재밌었다로~
한 번 정도 더 볼 생각 있음."
